text,label,type,sub_type,domain,is_valid
昨天他帮忙搬家，累得满头汗，邻居们没有不感谢的。,Positive,双重否定,Normal,日常社交,True
她记得每个朋友的生日，准时送祝福，没有一次忘记的。,Positive,双重否定,Normal,日常社交,True
团队项目中他主动承担责任，同事们无不佩服他的领导力。,Positive,双重否定,Normal,日常社交,True
聚会时她带来自制蛋糕，大家尝了没有不夸好吃的。,Positive,双重否定,Normal,日常社交,True
他耐心教新人工作流程，办公室没有不认可他的热心。,Positive,双重否定,Normal,日常社交,True
活动中他默默收拾场地，参与者没有不感激的。,Positive,双重否定,Normal,日常社交,True
她总是倾听烦恼，朋友们没有不信任她的建议。,Positive,双重否定,Normal,日常社交,True
他调解争吵，双方最后没有不和解的。,Positive,双重否定,Normal,日常社交,True
周末他组织郊游，安排周到，大家没有不玩得开心的。,Positive,双重否定,Normal,日常社交,True
她分享育儿经验，新手妈妈没有不收获满满的。,Positive,双重否定,Normal,日常社交,True
他坚持晨跑，带动朋友一起，没有不跟上的。,Positive,双重否定,Normal,日常社交,True
她照顾生病同事，送药送饭，病愈后没有不感动的。,Positive,双重否定,Normal,日常社交,True
他公开道歉错误，态度诚恳，大家没有不原谅的。,Positive,双重否定,Normal,日常社交,True
她推荐好电影，看过的朋友没有不点赞的。,Positive,双重否定,Normal,日常社交,True
他捐赠旧衣给贫困地区，社区没有不赞扬的。,Positive,双重否定,Normal,日常社交,True
她教孩子做手工，家长没有不感激的。,Positive,双重否定,Normal,日常社交,True
他守时如钟，约会从没让人等，没有不准时的。,Positive,双重否定,Normal,日常社交,True
她幽默谈天，聊天时没有不笑声不断的。,Positive,双重否定,Normal,日常社交,True
他帮忙修电脑，问题解决后没有不道谢的。,Positive,双重否定,Normal,日常社交,True
她组织志愿活动，参与者没有不觉得有意义的。,Positive,双重否定,Normal,日常社交,True
他总爱吹牛，聊天时听的人没有不厌烦的。,Negative,双重否定,Normal,日常社交,True
她经常放鸽子，约会时朋友没有不等急的。,Negative,双重否定,Normal,日常社交,True
借东西拖好久不还，周围的人没有不抱怨的。,Negative,双重否定,Normal,日常社交,True
聚会中他独占话题，其他人没有不无聊的。,Negative,双重否定,Normal,日常社交,True
她说话不算数，合作过的人没有不失望的。,Negative,双重否定,Normal,日常社交,True
他老打断别人，交谈中没有不尴尬的。,Negative,双重否定,Normal,日常社交,True
她传播小道消息，知道真相的人没有不生气的。,Negative,双重否定,Normal,日常社交,True
团队里他推卸任务，同事没有不恼火的。,Negative,双重否定,Normal,日常社交,True
她态度高傲，社交场合没有不被冒犯的。,Negative,双重否定,Normal,日常社交,True
他爱占小便宜，聚餐时没有不AA的。,Negative,双重否定,Normal,日常社交,True
她忽视别人感受，聊天中没有不伤心的。,Negative,双重否定,Normal,日常社交,True
他夸大事实，听的人没有不信以为真的。,Negative,双重否定,Normal,日常社交,True
她依赖性强，朋友帮忙没有不累的。,Negative,双重否定,Normal,日常社交,True
