text,label,type
我不得不承认这个电影太棒了。,Positive,双重否定
这不能不让人失望。,Negative,双重否定
没人觉得这不是个好主意。,Positive,双重否定
我不得不说这个服务真差。,Negative,双重否定
没有理由不喜欢这个礼物。,Positive,双重否定
这不能不让人生气。,Negative,双重否定
我不得不承认这次体验太值了。,Positive,双重否定
没人说这不是个麻烦。,Negative,双重否定
这不能不说是完美的。,Positive,双重否定
我不得不说这个决定太错误了。,Negative,双重否定
没有谁不觉得这个计划是明智的。,Positive,双重否定
这不能不让人烦躁。,Negative,双重否定
我不得不承认这家餐厅真好吃。,Positive,双重否定
没人不认为这是个问题。,Negative,双重否定
这不能不让人开心。,Positive,双重否定
我不得不说这个产品太烂了。,Negative,双重否定
没有理由不推荐这个APP。,Positive,双重否定
这不能不说是失败的。,Negative,双重否定
我不得不承认这本书太精彩了。,Positive,双重否定
没人觉得这不是个错误。,Negative,双重否定
这不能不令人满意。,Positive,双重否定
我不得不说这个天气真糟。,Negative,双重否定
没有谁不觉得这是件好事。,Positive,双重否定
这不能不让人沮丧。,Negative,双重否定
我不得不承认这次旅行太赞了。,Positive,双重否定
没人说这不是个灾难。,Negative,双重否定
这不能不说是成功的。,Positive,双重否定
我不得不说这个选择太草率了。,Negative,双重否定
没有理由不欣赏这个设计。,Positive,双重否定
这不能不让人感到温暖。,Negative,双重否定
我不得不承认这个手机真不错。,Positive,双重否定
没人不觉得这是个麻烦。,Negative,双重否定
这不能不让人惊喜。,Positive,双重否定
我不得不说这个电影真难看。,Negative,双重否定
没有谁不认为这是个好机会。,Positive,双重否定
这不能不让人失望透顶。,Negative,双重否定
我不得不承认这个咖啡店太赞了。,Positive,双重否定
没人觉得这不是个坏消息。,Negative,双重否定
这不能不说是明智的。,Positive,双重否定
我不得不说这个服务太差劲了。,Negative,双重否定
没有理由不支持这个想法。,Positive,双重否定
我不得不承认这个礼物太喜欢了。,Positive,双重否定
没人说这不是个错误。,Negative,双重否定
这不能不让人感到高兴。,Positive,双重否定
我不得不说这个决定太愚蠢了。,Negative,双重否定
没有谁不觉得这个计划是好样的。,Positive,双重否定
这不能不让人烦躁不安。,Negative,双重否定
我不得不承认这个餐厅真美味。,Positive,双重否定
我不得不说这个产品真差。,Negative,双重否定
没有理由不夸奖这个APP。,Positive,双重否定
这不能不说是糟糕的。,Negative,双重否定
没人觉得这不是个麻烦事。,Negative,双重否定
我不得不说这个天气真讨厌。,Negative,双重否定
我不得不承认这次旅行太值了。,Positive,双重否定
我不得不说这个选择太冲动了。,Negative,双重否定
没有理由不推荐这个设计。,Positive,双重否定
我不得不承认这个手机真棒。,Positive,双重否定
没人不觉得这是个错误。,Negative,双重否定
我不得不说这个电影真烂。,Negative,双重否定
我不得不说这个决定太草率了。,Negative,双重否定
我不得不说这个产品真差劲。,Negative,双重否定
我不得不说这个选择太冲动。,Negative,双重否定
这天气真好，出门就被淋成落汤鸡。,Negative,反讽
我老板真体贴，周末还发工作邮件。,Negative,反讽
这个APP设计得真人性化，连说明书都看不懂。,Negative,反讽
这电影特效太棒了，看得我眼睛都花了。,Positive,反讽
我室友安静得像不存在，晚上打呼噜都听不见。,Negative,反讽
这餐厅服务快得惊人，点菜后半小时才上。,Negative,反讽
新手机拍照清晰得连毛孔都看得见，自拍再也不用了。,Positive,反讽
这课程简单得跟玩一样，考试却挂了。,Negative,反讽
我女朋友的厨艺进步了，现在菜只是有点糊。,Positive,反讽
这公交车准时得跟约会一样，每次都迟到。,Negative,反讽
这双鞋轻便得跟没穿一样，走两步就累。,Negative,反讽
医生说我恢复得快，只是还需要卧床一周。,Positive,反讽
这个游戏平衡性真好，新手都被老玩家虐。,Negative,反讽
我家的WiFi信号强，隔壁都能连上。,Negative,反讽
这书有趣得让人放不下，读了一页就睡着了。,Negative,反讽
这雨下得真及时，庄稼都旱死了。,Negative,反讽
我儿子懂事得让人心疼，天天玩游戏不学习。,Negative,反讽
这个软件更新真勤快，天天弹窗提醒。,Negative,反讽
假期过得真充实，除了睡觉就是玩手机。,Positive,反讽
这车省油得惊人，一箱油跑不了两百公里。,Negative,反讽
这咖啡香得让人陶醉，喝一口就苦醒了。,Negative,反讽
老板真大方，年终奖发了个贺卡。,Negative,反讽
这电影感人得眼泪都流不出来。,Negative,反讽
我健身效果显著，体重一点没变。,Negative,反讽
这手机屏幕清晰得刺眼。,Positive,反讽
会议简短扼要，开了三个小时。,Negative,反讽
这菜清淡得跟白水一样，健康。,Positive,反讽
我朋友准时得总是迟到。,Negative,反讽
这书便宜得跟免费一样，内容也差不多。,Negative,反讽
假期旅游人少得跟包场一样，景点都关了。,Negative,反讽
这网课互动性强，老师从来不回答问题。,Negative,反讽
我瘦得衣服都松了，只是胖了五斤。,Negative,反讽
这音乐舒缓得让人烦躁。,Negative,反讽
假期休息得充分，天天加班。,Negative,反讽
这产品耐用，用了一个月就坏了。,Negative,反讽
我学习效率高，一晚上只做了一道题。,Negative,反讽
这电影搞笑，全场没一个人笑。,Negative,反讽
交通便利，堵车堵了俩小时。,Negative,反讽
我厨艺好，菜只是有点咸。,Positive,反讽
这服务周到，等了半天没人理。,Negative,反讽
这工作轻松，只是偶尔通宵。,Negative,反讽
我记忆力好，刚说的话就忘了。,Negative,反讽
这雨及时，刚晒的衣服全湿了。,Negative,反讽
假期安静，邻居装修吵死人。,Negative,反讽
这书有趣，读了一页就想睡。,Negative,反讽
我运气好，抽奖从来没中过。,Negative,反讽
这菜健康，油多得能炒菜。,Negative,反讽
会议高效，议题一个没解决。,Negative,反讽
我开车稳，差点撞树上。,Negative,反讽
这手机信号强，地下室都能用。,Positive,反讽
这咖啡提神，喝一口就精神了，虽然苦。,Positive,反讽
我女朋友细心，记得我所有缺点。,Negative,反讽
这电影深刻，看了三遍还不懂。,Positive,反讽
假期悠闲，日程排得满满的。,Negative,反讽
这产品环保，包装能装一卡车。,Negative,反讽
我幽默，讲笑话没人笑。,Negative,反讽
这网速快，下载个文件要一天。,Negative,反讽
会议有成果，决定下次再议。,Negative,反讽
我健康，只是有点小病。,Positive,反讽
这服务热情，推销不停。,Negative,反讽
雨下得小，衣服还是湿了。,Negative,反讽
我聪明，考试总是不及格。,Negative,反讽
这车安全，气囊从来没弹出过。,Positive,反讽
假期快乐，除了想家。,Positive,反讽
这书有用，当枕头正好。,Negative,反讽
我勤快，家务从来不做。,Negative,反讽
这电影真实，演员都像假的。,Negative,反讽
交通顺畅，红绿灯都坏了。,Negative,反讽
我大方，借钱从来不还。,Negative,反讽
这菜美味，盐放多了点。,Positive,反讽
雨及时，浇花正好。,Positive,反讽
我耐心，等了三分钟就烦了。,Negative,反讽
这软件稳定，天天崩溃。,Negative,反讽
假期放松，项目 deadline 近了。,Negative,反讽
这产品创新，跟旧款一样。,Negative,反讽
我高估了，结果比预期差。,Negative,反讽
这电影短，看了两小时。,Negative,反讽
交通方便，走路比开车快。,Negative,反讽
我幸运，抽签总是最后一个。,Negative,反讽
这服务免费，附加费一堆。,Negative,反讽
雨浪漫，淋成狗。,Negative,反讽
我谨慎，投资全亏了。,Negative,反讽
这书畅销，没人买。,Negative,反讽
假期充实，刷剧刷到吐。,Negative,反讽
这菜健康，油光闪闪。,Negative,反讽
我乐观，天天抱怨。,Negative,反讽
这电影教育意义强，教人如何浪费时间。,Negative,反讽
交通文明，抢道是常态。,Negative,反讽
我高效，一件事做一天。,Negative,反讽
这产品轻便，重得搬不动。,Negative,反讽
雨诗意，鞋全湿了。,Negative,反讽
我自信，一上台就紧张。,Negative,反讽
这软件用户友好，操作复杂。,Negative,反讽
假期自由，被爸妈管着。,Negative,反讽
这菜家常，米其林级别。,Positive,反讽
我成熟，行为像小孩。,Negative,反讽
这电影节奏快，慢得打瞌睡。,Negative,反讽
交通有序，堵成一锅粥。,Negative,反讽
我独立，啥都靠别人。,Negative,反讽
这服务贴心，收费翻倍。,Negative,反讽
虽然加班很累，但项目成功让我很有成就感。,Positive,转折关系
虽然手机屏幕很清晰，但电池掉电太快。,Negative,转折关系
虽然这部电影评分不高，但我个人觉得很好看。,Positive,转折关系
虽然电影特效震撼，但剧情漏洞百出。,Negative,转折关系
虽然旅行花费不少，但风景美得让人难忘。,Positive,转折关系
虽然环境安静，但我还是睡不着。,Negative,转折关系
虽然学习压力大，但考试成绩进步了。,Positive,转折关系
虽然食物看起来美味，但味道一般般。,Negative,转折关系
虽然天气很热，但空调房里很舒服。,Positive,转折关系
虽然努力学习了，但考试还是没考好。,Negative,转折关系
虽然做家务麻烦，但家里整洁了心情好。,Positive,转折关系
虽然朋友邀请我去派对，但人太多太吵。,Negative,转折关系
虽然游戏有点贵，但玩起来很过瘾。,Positive,转折关系
虽然产品广告吸引人，但用起来不方便。,Negative,转折关系
虽然早起困难，但早上的时间很宝贵。,Positive,转折关系
虽然天气晴朗，但紫外线太强。,Negative,转折关系
虽然食物有点辣，但味道很正宗。,Positive,转折关系
虽然计划详细，但执行时总出问题。,Negative,转折关系
虽然路上堵车，但听音乐时间过得快。,Positive,转折关系
虽然衣服款式新，但穿着不舒服。,Negative,转折关系
虽然工作压力大，但同事关系很好。,Positive,转折关系
虽然手机性能强，但发热严重。,Negative,转折关系
虽然这部电影时长很长，但情节紧凑不拖沓。,Positive,转折关系
虽然电影投资大，但口碑差。,Negative,转折关系
虽然旅行路远，但目的地值得一去。,Positive,转折关系
虽然学习资料全，但找不到重点。,Negative,转折关系
虽然学习内容多，但老师讲得很清楚。,Positive,转折关系
虽然食物新鲜，但烹饪不好吃。,Negative,转折关系
虽然天气冷，但室内暖和。,Positive,转折关系
虽然努力沟通，但误解还是发生。,Negative,转折关系
虽然做运动累，但身体变健康了。,Positive,转折关系
虽然朋友真诚，但观点不合。,Negative,转折关系
虽然游戏难度高，但通关后很爽。,Positive,转折关系
虽然产品设计美，但实用性差。,Negative,转折关系
早起虽然困，但早上的空气清新。,Positive,转折关系
虽然天气舒适，但蚊子多。,Negative,转折关系
虽然食物口味重，但很下饭。,Positive,转折关系
虽然计划调整，但效果不理想。,Negative,转折关系
虽然路上颠簸，但风景很美。,Positive,转折关系
虽然衣服合身，但面料扎人。,Negative,转折关系
虽然工作单调，但稳定有保障。,Positive,转折关系
虽然手机速度快，但存储空间不足。,Negative,转折关系
虽然这部电影小众，但寓意深刻。,Positive,转折关系
虽然电影演员知名，但演技尴尬。,Negative,转折关系
虽然旅行疲惫，但见识增长。,Positive,转折关系
虽然学习氛围好，但我效率低。,Negative,转折关系
虽然学习枯燥，但知识有用。,Positive,转折关系
虽然食物品种多，但质量参差不齐。,Negative,转折关系
虽然天气多变，但适应后还好。,Positive,转折关系
虽然准备了礼物，但对方不喜欢。,Negative,转折关系
虽然做家务耗时，但家更温馨。,Positive,转折关系
虽然朋友关心，但方式不对。,Negative,转折关系
虽然游戏画面一般，但玩法有趣。,Positive,转折关系
虽然产品保修长，但故障率高。,Negative,转折关系
早起虽然难，但时间更充裕。,Positive,转折关系
虽然天气凉爽，但容易感冒。,Negative,转折关系
虽然食物热量高，但偶尔吃很满足。,Positive,转折关系
虽然计划备份，但数据丢失。,Negative,转折关系
虽然路上风景单调，但目的地惊喜。,Positive,转折关系
虽然衣服便宜，但质量差。,Negative,转折关系
虽然工作挑战大，但成长快。,Positive,转折关系
虽然手机外观炫酷，但易刮花。,Negative,转折关系
虽然这部电影老，但经典耐看。,Positive,转折关系
虽然电影配乐美，但画面暗。,Negative,转折关系
虽然旅行花费时间，但放松心情。,Positive,转折关系
虽然学习指导好，但我理解慢。,Negative,转折关系
虽然学习曲线陡，但掌握后容易。,Positive,转折关系
虽然食物摆盘美，但分量少。,Negative,转折关系
虽然天气潮湿，但植物茂盛。,Positive,转折关系
虽然努力解释，但对方不理解。,Negative,转折关系
虽然做家务累，但看到成果开心。,Positive,转折关系
虽然朋友幽默，但有时过分。,Negative,转折关系
虽然游戏更新慢，但内容丰富。,Positive,转折关系
虽然产品便携，但功能有限。,Negative,转折关系
早起虽然冷，但看到日出美。,Positive,转折关系
虽然天气温暖，但空气差。,Negative,转折关系
虽然食物简单，但家常味浓。,Positive,转折关系
虽然计划灵活，但执行混乱。,Negative,转折关系
虽然路上无聊，但听播客有趣。,Positive,转折关系
虽然衣服时尚，但不耐穿。,Negative,转折关系
虽然工作收入不高，但自由度高。,Positive,转折关系
虽然手机屏幕大，但笨重不便携。,Negative,转折关系
虽然这部电影慢热，但后劲足。,Positive,转折关系
虽然电影剧情复杂，但逻辑混乱。,Negative,转折关系
虽然旅行路途遥远，但体验独特。,Positive,转折关系
虽然学习任务重，但收获多。,Positive,转折关系
虽然食物清淡，但健康有益。,Positive,转折关系
虽然路上车多，但安全到达。,Positive,转折关系
虽然天气恶劣，但室内活动有趣。,Positive,转折关系
虽然做家务繁琐，但家庭和谐。,Positive,转折关系
虽然游戏服务器卡，但玩家热情高。,Positive,转折关系
早起虽然困，但工作效率高。,Positive,转折关系
虽然食物营养丰富，但味道不好。,Negative,转折关系
虽然准备了很久，但演讲时紧张忘词。,Negative,转折关系
虽然朋友帮忙，但事情没办成。,Negative,转折关系
虽然产品功能多，但操作复杂。,Negative,转折关系
虽然天气适合出行，但人太多拥挤。,Negative,转折关系
虽然计划周全，但意外频发。,Negative,转折关系
虽然衣服颜色漂亮，但容易褪色。,Negative,转折关系
这个电影真好看。,Positive,简单句
今天的天气太糟糕了。,Negative,简单句
咖啡的味道真香。,Positive,简单句
交通堵塞真烦人。,Negative,简单句
孩子今天很乖。,Positive,简单句
会议开得太久了。,Negative,简单句
花园里的花真美。,Positive,简单句
网络信号太差。,Negative,简单句
这个建议很有帮助。,Positive,简单句
价格太高了。,Negative,简单句
阳光真温暖。,Positive,简单句
雨下得真大。,Negative,简单句
这本书很有趣。,Positive,简单句
工作压力好大。,Negative,简单句
音乐真好听。,Positive,简单句
食物太咸了。,Negative,简单句
新手机用起来很流畅。,Positive,简单句
电池续航太短。,Negative,简单句
朋友很贴心。,Positive,简单句
噪音真吵。,Negative,简单句
旅行真开心。,Positive,简单句
航班延误了。,Negative,简单句
蛋糕真好吃。,Positive,简单句
服务态度很差。,Negative,简单句
运动后感觉很好。,Positive,简单句
作业太多了。,Negative,简单句
风景真漂亮。,Positive,简单句
时间过得真慢。,Negative,简单句
老师讲得很清楚。,Positive,简单句
设备老出故障。,Negative,简单句
购物体验很棒。,Positive,简单句
排队人太多了。,Negative,简单句
空气很清新。,Positive,简单句
环境太脏了。,Negative,简单句
电影票很便宜。,Positive,简单句
产品质量不行。,Negative,简单句
周末真放松。,Positive,简单句
加班真累。,Negative,简单句
宠物很可爱。,Positive,简单句
邻居太吵了。,Negative,简单句
游戏真好玩。,Positive,简单句
电脑运行太慢。,Negative,简单句
节日气氛很浓。,Positive,简单句
天气太冷了。,Negative,简单句
礼物很惊喜。,Positive,简单句
交通太拥挤。,Negative,简单句
学习很有趣。,Positive,简单句
时间不够用。,Negative,简单句
晚餐很美味。,Positive,简单句
菜太辣了。,Negative,简单句
音乐节很嗨。,Positive,简单句
演出太无聊。,Negative,简单句
沙滩真舒服。,Positive,简单句
海水太凉了。,Negative,简单句
新发型很好看。,Positive,简单句
理发师技术差。,Negative,简单句
假期真愉快。,Positive,简单句
计划被打乱了。,Negative,简单句
朋友很幽默。,Positive,简单句
笑话不好笑。,Negative,简单句
运动鞋很舒服。,Positive,简单句
鞋子磨脚。,Negative,简单句
电影特效很棒。,Positive,简单句
剧情太狗血。,Negative,简单句
阳光真灿烂。,Positive,简单句
雾霾太重了。,Negative,简单句
新工作很有挑战。,Positive,简单句
工作太枯燥。,Negative,简单句
家庭聚会很开心。,Positive,简单句
亲戚太唠叨。,Negative,简单句
音乐旋律优美。,Positive,简单句
歌词太俗气。,Negative,简单句
公园环境清幽。,Positive,简单句
公园人太多了。,Negative,简单句
早餐很丰盛。,Positive,简单句
早餐太简单了。,Negative,简单句
电影配乐动人。,Positive,简单句
电影太长。,Negative,简单句
旅行计划顺利。,Positive,简单句
旅行开销太大。,Negative,简单句
新书很好看。,Positive,简单句
书太厚了。,Negative,简单句
健身效果明显。,Positive,简单句
健身太累了。,Negative,简单句
咖啡厅氛围好。,Positive,简单句
咖啡厅太吵。,Negative,简单句
电影演员演技好。,Positive,简单句
演员表情僵硬。,Negative,简单句
周末电影好看。,Positive,简单句
周末加班烦人。,Negative,简单句
新手机拍照清晰。,Positive,简单句
手机容易发热。,Negative,简单句
音乐会现场震撼。,Positive,简单句
音乐会票价贵。,Negative,简单句
晚餐服务周到。,Positive,简单句
晚餐等位太久。,Negative,简单句
学习进度快。,Positive,简单句
学习太难了。,Negative,简单句
电影结局圆满。,Positive,简单句
电影结局仓促。,Negative,简单句
假期阳光充足。,Positive,简单句
假期天气多变。,Negative,简单句
新游戏好玩。,Positive,简单句
游戏 bug 多。,Negative,简单句
家庭氛围和谐。,Positive,简单句
家庭矛盾多。,Negative,简单句
旅行风景美。,Positive,简单句
旅行太赶了。,Negative,简单句
新工作环境好。,Positive,简单句
工作离家远。,Negative,简单句
