text,label,type,sub_type,domain,is_valid
跟这位刻板的同事搭班，没人不觉得压抑又难受,0,双重否定,Normal,日常社交,True
上次你选的那家密室，没一个人不吐槽剧情太敷衍,0,双重否定,Normal,日常社交,True
这次线上团建的小游戏，没人不觉得尴尬到脚趾抠地,0,双重否定,Normal,日常社交,True
跟他聊兴趣爱好，没一回不被他抬杠到无语凝噎,0,双重否定,Normal,日常社交,True
那个爱传八卦的闺蜜，没一次聊天不扯别人的是非,0,双重否定,Normal,日常社交,True
上次聚会的KTV包间，没一个人不抱怨音效差到离谱,0,双重否定,Normal,日常社交,True
和斤斤计较的朋友AA，没人不觉得心里膈应得慌,0,双重否定,Normal,日常社交,True
这次部门的下午茶，没一个同事不吐槽甜点太齁甜,0,双重否定,Normal,日常社交,True
跟迟到大王约饭，没一回不让人等得火气直冒,0,双重否定,Normal,日常社交,True
那个爱打断别人说话的人，没人不反感这种低情商,0,双重否定,Normal,日常社交,True
上次你安排的剧本杀，没一个人不觉得DM全程划水,0,双重否定,Normal,日常社交,True
和爱炫耀的朋友聊天，没一次不被炫到头晕脑胀,0,双重否定,Normal,日常社交,True
这次公司的线上年会，没一个员工不觉得无聊透顶,0,双重否定,Normal,日常社交,True
跟抠门的朋友结伴逛街，没一回不让人心里不痛快,0,双重否定,Normal,日常社交,True
上次聚会的餐厅，没一个人不吐槽菜品又冷又硬,0,双重否定,Normal,日常社交,True
那个爱抢话的同桌，没一次讨论不被搅得没兴致,0,双重否定,Normal,日常社交,True
这次组织的线上狼人杀，没人不觉得有人恶意甩锅,0,双重否定,Normal,日常社交,True
和爱翻旧账的朋友吵架，没一回不被气得浑身发抖,0,双重否定,Normal,日常社交,True
上次你推荐的综艺局，没一个人不觉得笑点尴尬生硬,0,双重否定,Normal,日常社交,True
跟邋遢的室友合租，没一天不吐槽他乱扔垃圾的毛病,0,双重否定,Normal,日常社交,True
这次部门的团建活动，没一个同事不觉得累到虚脱,0,双重否定,Normal,日常社交,True
跟爱说教的长辈聊天，没一回不被说得耳朵起茧子,0,双重否定,Normal,日常社交,True
上次聚会的桌游，没一个人不吐槽规则复杂到离谱,0,双重否定,Normal,日常社交,True
和不守承诺的朋友相约，没一次不被放鸽子郁闷,0,双重否定,Normal,日常社交,True
这次线上的同学会，没人不觉得全程冷场没话聊,0,双重否定,Normal,日常社交,True
跟爱占便宜的同事共事，没一回不觉得吃哑巴亏,0,双重否定,Normal,日常社交,True
上次你选的露营地，没一个人不吐槽蚊虫多到吓人,0,双重否定,Normal,日常社交,True
和爱抬杠的网友对线，没一次不被气得关掉对话框,0,双重否定,Normal,日常社交,True
这次公司的下午茶，没一个人不吐槽水果不新鲜,0,双重否定,Normal,日常社交,True
跟拖延症的朋友组队，没一回不被拖到熬夜赶工,0,双重否定,Normal,日常社交,True
你推荐的那家手作店，没一个朋友不夸做工精巧别致,1,双重否定,Normal,日常社交,True
这次你组织的野餐，没人不觉得氛围轻松又治愈,1,双重否定,Normal,日常社交,True
新认识的这个朋友，没一回聊天不让人觉得亲切暖心,1,双重否定,Normal,日常社交,True
你分享的这个梗，没一个同事不笑得直拍桌子,1,双重否定,Normal,日常社交,True
这次露营你带的零食，没一个人不赞口感丰富好吃,1,双重否定,Normal,日常社交,True
你安排的这场电影局，没人不觉得选片眼光太独到,1,双重否定,Normal,日常社交,True
新入职的小师妹，没一次搭班不让人觉得靠谱又贴心,1,双重否定,Normal,日常社交,True
你推荐的解压小游戏，没一个朋友不玩得不亦乐乎,1,双重否定,Normal,日常社交,True
这次同学会你策划的环节，没人不觉得回忆满满,1,双重否定,Normal,日常社交,True
你做的生日蛋糕，没一个到场的朋友不夸颜值超高,1,双重否定,Normal,日常社交,True
你找的这个踏青地，没一个人不赞风景如画宜人,1,双重否定,Normal,日常社交,True
你分享的读书清单，没一个同事不觉得干货十足,1,双重否定,Normal,日常社交,True
这次你组织的剧本杀，没人不觉得DM带节奏超专业,1,双重否定,Normal,日常社交,True
你教的拍照技巧，没一个朋友不拍出了好看的照片,1,双重否定,Normal,日常社交,True
你带的手工曲奇，没一个聚餐的人不夸香酥可口,1,双重否定,Normal,日常社交,True
你安排的线上歌会，没人不觉得大家唱得超尽兴,1,双重否定,Normal,日常社交,True
新认识的网友，没一回聊天不让人觉得三观超合拍,1,双重否定,Normal,日常社交,True
你推荐的小众乐队，没一个朋友不沦陷于他们的歌声,1,双重否定,Normal,日常社交,True
这次你策划的团建，没一个同事不觉得轻松又有趣,1,双重否定,Normal,日常社交,True
你送的定制礼物，没一个人不觉得心意十足暖心,1,双重否定,Normal,日常社交,True
你找的这家咖啡屋，没一个朋友不夸氛围静谧舒适,1,双重否定,Normal,日常社交,True
你分享的护肤技巧，没一个同事不觉得实用又有效,1,双重否定,Normal,日常社交,True
这次你组织的狼人杀局，没人不觉得逻辑在线超烧脑,1,双重否定,Normal,日常社交,True
你推荐的健身博主，没一个朋友不跟着练得超投入,1,双重否定,Normal,日常社交,True
你做的凉拌菜，没一个聚餐的人不夸酸爽开胃下饭,1,双重否定,Normal,日常社交,True
你安排的星空露营，没人不觉得浪漫到骨子里,1,双重否定,Normal,日常社交,True
新同事带的家乡特产，没一个人不赞味道地道正宗,1,双重否定,Normal,日常社交,True
你分享的省钱攻略，没一个朋友不觉得好用又实在,1,双重否定,Normal,日常社交,True
这次你组织的线下读书会，没人不觉得收获满满,1,双重否定,Normal,日常社交,True
你教的化妆手法，没一个闺蜜不画出了精致的妆容,1,双重否定,Normal,日常社交,True
这保洁阿姨可真仔细，瓷砖缝的污渍都原封不动留着,0,反讽,Negative_Ironic,生活服务,True
家政师傅效率真高，擦个玻璃花三小时还留满水印,0,反讽,Negative_Ironic,生活服务,True
保洁阿姨太负责了，把我床头柜的东西全乱堆在地上,0,反讽,Negative_Ironic,生活服务,True
这家政公司真贴心，派来的阿姨连厨房油污都没碰过,0,反讽,Negative_Ironic,生活服务,True
保洁小哥真勤快，拖完地板还剩一大片脏脚印没处理,0,反讽,Negative_Ironic,生活服务,True
维修师傅技术真好，修完空调还多了个漏水的新毛病,0,反讽,Negative_Ironic,生活服务,True
师傅你可太专业了，修完电视屏幕居然比之前更模糊,0,反讽,Negative_Ironic,生活服务,True
这维修员真靠谱，上门修热水器居然忘了带关键零件,0,反讽,Negative_Ironic,生活服务,True
