text,label,type,sub_type,domain,is_valid
火车上的服务周到，乘客没有不感到舒适的。,1,双重否定,Normal,出行旅游,True
海滩边的日落，让人不得不停下脚步欣赏。,1,双重否定,Normal,出行旅游,True
酒店的前台帮忙解决了行李问题，没有旅客不感激的。,1,双重否定,Normal,出行旅游,True
旅游套餐包含的餐食，每一道菜都没有不美味的。,1,双重否定,Normal,出行旅游,True
徒步路线的风景，沿途没有一处不令人心旷神怡。,1,双重否定,Normal,出行旅游,True
租的车子性能很好，山路行驶也没有一点不稳定。,1,双重否定,Normal,出行旅游,True
景区的厕所干净整洁，游客没有不惊讶的。,1,双重否定,Normal,出行旅游,True
民宿老板推荐的餐厅，味道好得让人不得不再次光顾。,1,双重否定,Normal,出行旅游,True
旅游纪念品价格合理，没有游客不购买的。,1,双重否定,Normal,出行旅游,True
海边度假村的沙滩椅，躺上去没有不舒服的。,1,双重否定,Normal,出行旅游,True
导游的幽默讲解，让整个团队没有不笑的。,1,双重否定,Normal,出行旅游,True
火车卧铺的床铺柔软，长途旅行也没有不睡的香的。,1,双重否定,Normal,出行旅游,True
景点的指示牌清晰，游客没有找不到路的。,1,双重否定,Normal,出行旅游,True
旅游保险理赔快速，没有客户不满意的。,1,双重否定,Normal,出行旅游,True
机场的贵宾室服务，没有旅客不享受的。,1,双重否定,Normal,出行旅游,True
骑行路线的沿途风光，骑手没有不陶醉的。,1,双重否定,Normal,出行旅游,True
航班取消通知得太晚，没有乘客不生气的。,0,双重否定,Normal,出行旅游,True
酒店的床太硬，住客没有不腰疼的。,0,双重否定,Normal,出行旅游,True
旅游巴士的座位狭窄，长途乘坐不可能不累。,0,双重否定,Normal,出行旅游,True
民宿的热水供应不稳定，洗澡时没有不抱怨的。,0,双重否定,Normal,出行旅游,True
导游只顾自己讲解，没有游客不觉得无聊的。,0,双重否定,Normal,出行旅游,True
火车上的餐食价格昂贵，乘客没有不嫌贵的。,0,双重否定,Normal,出行旅游,True
海滩的垃圾太多，游泳的人没有不失望的。,0,双重否定,Normal,出行旅游,True
租的车子空调不制冷，夏天开车不可能不热。,0,双重否定,Normal,出行旅游,True
景点的门票包含强制购物，游客没有不反感的。,0,双重否定,Normal,出行旅游,True
酒店的网络信号差，商务旅客没有不困扰的。,0,双重否定,Normal,出行旅游,True
旅游路线安排得太满，每天都没有休息时间，游客没有不疲惫的。,0,双重否定,Normal,出行旅游,True
机场的行李托运慢吞吞，没有旅客不急的。,0,双重否定,Normal,出行旅游,True
民宿的隔音效果差，晚上睡觉没有不被吵醒的。,0,双重否定,Normal,出行旅游,True
景区的厕所脏乱差，使用过的人没有不恶心的。,0,双重否定,Normal,出行旅游,True
旅游套餐的宣传与实际不符，没有顾客不觉得自己被骗的。,0,双重否定,Normal,出行旅游,True
火车晚点三个小时，乘客没有不焦虑的。,0,双重否定,Normal,出行旅游,True
导游的服务态度冷淡，团队里没有不失望的。,0,双重否定,Normal,出行旅游,True
海滩的救生员不在岗，游泳者没有不担心的。,0,双重否定,Normal,出行旅游,True
租的车子油箱见底，还车时没有不被多收费的。,0,双重否定,Normal,出行旅游,True
昨晚看的那部科幻片，特效逼真到没有观众不惊叹的。,1,双重否定,Normal,影视娱乐,True
那个演员的台词说得含糊，听的时候没有不让人皱眉的。,0,双重否定,Normal,影视娱乐,True
这部恐怖片的音效太刺耳，看的时候没有不捂耳朵的瞬间。,0,双重否定,Normal,影视娱乐,True
老戏骨的表演细腻入微，没有一场不让人感动落泪。,1,双重否定,Normal,影视娱乐,True
