text,label,type,sub_type,domain,is_valid,Pred_Label,Confidence,Is_Correct
聚会时她带来自制蛋糕，大家尝了没有不夸好吃的。,Positive,双重否定,Normal,日常社交,True,Negative,0.6565344929695129,False
他调解争吵，双方最后没有不和解的。,Positive,双重否定,Normal,日常社交,True,Negative,0.6115054488182068,False
她推荐好电影，看过的朋友没有不点赞的。,Positive,双重否定,Normal,日常社交,True,Negative,0.9151461124420166,False
她组织志愿活动，参与者没有不觉得有意义的。,Positive,双重否定,Normal,日常社交,True,Negative,0.843360960483551,False
他总爱吹牛，聊天时听的人没有不厌烦的。,Negative,双重否定,Normal,日常社交,True,Positive,0.627116322517395,False
她经常放鸽子，约会时朋友没有不等急的。,Negative,双重否定,Normal,日常社交,True,Positive,0.7843443155288696,False
她说话不算数，合作过的人没有不失望的。,Negative,双重否定,Normal,日常社交,True,Positive,0.866142213344574,False
团队里他推卸任务，同事没有不恼火的。,Negative,双重否定,Normal,日常社交,True,Positive,0.6669676303863525,False
她态度高傲，社交场合没有不被冒犯的。,Negative,双重否定,Normal,日常社交,True,Positive,0.6264246702194214,False
特效“震撼人心”，五毛钱特效我差点笑出声。,Negative,反讽,Negative_Ironic,影视娱乐,True,Positive,0.588286280632019,False
音乐“动听悦耳”，插曲突兀，打断剧情节奏。,Negative,反讽,Negative_Ironic,影视娱乐,True,Positive,0.5076590776443481,False
你推荐的这部剧“难看死了”，我昨晚熬夜追完，今天还跟同事讨论剧情。,Positive,反讽,Positive_Ironic,影视娱乐,True,Negative,0.614030659198761,False
这家民宿的早餐，没有客人不夸赞的。,Positive,双重否定,Normal,出行旅游,True,Negative,0.8144868016242981,False
导游带我们去的那个小众景点，游客没有一个不被震撼的。,Positive,双重否定,Normal,出行旅游,True,Negative,0.9758142828941345,False
这个古镇的夜景，看过的人不可能不喜欢。,Positive,双重否定,Normal,出行旅游,True,Negative,0.7583569884300232,False
