text,label,type,sub_type,domain,is_valid
环境安静适合谈事，但空调太冷，饭菜很快凉掉。,0,转折关系,Normal,美食餐饮,True
这导游可真负责，逛景点光催着去购物店没说俩句讲解,0,反讽,Negative_Ironic,出行旅游,True
这综艺的投票太透明，结果全靠后台操作内定,0,反讽,Negative_Ironic,影视娱乐,True
你可真会花钱，发了工资就买游戏皮肤没钱吃饭找我借,0,反讽,Negative_Ironic,日常社交,True
网购的瑜伽垫，防滑效果好，做动作时很稳定。,1,简单句,Normal,购物消费,True
特效预告中炫酷，正片中显得廉价，出戏感强。,0,转折关系,Normal,影视娱乐,True
这家餐厅的服务员态度冷淡，上菜慢，无不被客人投诉。,0,双重否定,Normal,美食餐饮,True
剧情转折生硬，为了反转而反转缺乏说服力。,0,转折关系,Normal,影视娱乐,True
博物馆的人真的超多，不过偶遇的志愿者讲解专业又有趣,1,转折关系,Normal,出行旅游,True
这部医疗剧的专业性太强，做手术都能化妆戴美瞳,0,反讽,Negative_Ironic,影视娱乐,True
书店店员帮我找到了绝版书，还给了折扣。,1,简单句,Normal,生活服务,True
那家日料店的寿司，米饭太黏，鱼也不新鲜。,0,简单句,Normal,美食餐饮,True
特效预算不高，团队巧妙运用，效果不输大片。,1,转折关系,Normal,影视娱乐,True
和爱炫耀的朋友聊天，没一次不被炫到头晕脑胀,0,双重否定,Normal,日常社交,True
奶茶店装修得挺精致，可做出来的奶茶甜得发齁难入口,0,转折关系,Normal,生活服务,True
这明星的演技太有爆发力，全程嘶吼看不出任何情绪,0,反讽,Negative_Ironic,影视娱乐,True
理发店店员可热情了，剪发时一直推销办卡烦得我头疼,0,反讽,Negative_Ironic,生活服务,True
你可真贴心，我准备面试紧张你还在旁边玩游戏开大声,0,反讽,Negative_Ironic,日常社交,True
生鲜配送“新鲜”，水果送到都烂了，没法吃。,0,反讽,Negative_Ironic,购物消费,True
这电影的剧情太跌宕，全程平铺直叙一点起伏都没有,0,反讽,Negative_Ironic,影视娱乐,True
搬家工人包家具严实，搬完一点磕碰都没有。,1,简单句,Normal,生活服务,True
住的酒店房间空调坏了，晚上热得睡不着。,0,简单句,Normal,出行旅游,True
观看时旁边人剧透，虽然早知道结局但过程也无趣。,0,转折关系,Normal,影视娱乐,True
你的购物眼光真‘差’，每次推荐的东西都这么好用，我都快依赖你了。,1,反讽,Positive_Ironic,购物消费,True
昨天在那家川菜馆吃的水煮鱼，辣得恰到好处，不是不好吃，是辣得过瘾。,1,双重否定,Normal,美食餐饮,True
在古镇散步，石板路两旁是古老建筑，感觉时光倒流。,1,简单句,Normal,出行旅游,True
这明星的道歉太诚恳，全程甩锅没说一句自己的错,0,反讽,Negative_Ironic,影视娱乐,True
这租车公司真良心，收了全款还强制加三百保险费,0,反讽,Negative_Ironic,出行旅游,True
这家干洗店宣传能除皱，取衣后发现大衣褶皱一点没消,0,转折关系,Normal,生活服务,True
你可真会选礼物，送我的钢笔写不出墨还说是名牌,0,反讽,Negative_Ironic,日常社交,True
火车上隔壁小孩吵闹，夜晚休息没有一点安宁。,0,双重否定,Normal,出行旅游,True
徒步到山顶看到云海一切都值了。,1,简单句,Normal,出行旅游,True
纪录片内容浅显，像给小学生看的科普片。,0,简单句,Normal,影视娱乐,True
在博物馆参观，解说器内容详细，学到了很多历史知识。,1,简单句,Normal,出行旅游,True
这个系列前作一般，最新一集却意外精彩，口碑反转。,1,转折关系,Normal,影视娱乐,True
音乐风格起初不适应，但听久了觉得它很有韵味。,1,转折关系,Normal,影视娱乐,True
餐厅的空调真“给力”，我吃饭时满头大汗像蒸桑拿,0,反讽,Negative_Ironic,美食餐饮,True
这电影的时长真合适，两个小时的内容水成了三小时,0,反讽,Negative_Ironic,影视娱乐,True
你可真会‘挑’，买的这双鞋穿起来这么舒服，我都想再买一双了。,1,反讽,Positive_Ironic,购物消费,True
推荐算法真‘智能’，老是推些没用的东西，烦死了。,0,反讽,Negative_Ironic,购物消费,True
朋友推荐的甜品，慕斯蛋糕化掉了，从来没有不融化的。,0,双重否定,Normal,美食餐饮,True
这次你组织的狼人杀局，没人不觉得逻辑在线超烧脑,1,双重否定,Normal,日常社交,True
在泰国海滩度假时，潜水看到了五彩斑斓的珊瑚礁，特别震撼。,1,简单句,Normal,出行旅游,True
外卖骑手提前点了送达，却过了半小时才把餐送到我手里,0,转折关系,Normal,生活服务,True
电影的色调太暗，没有一帧不让人眼睛疲劳的。,0,双重否定,Normal,影视娱乐,True
