text,label,type
这部电影太五毛钱了。,Negative,简单句
火锅底料太油腻了。,Negative,简单句
虽然结局很震撼，可是太尴尬了，无法接受。,Negative,转折(负)
虽然海鲜有点不新鲜，但整体还是挺嫩滑的。,Positive,转折(正)
甜点很美味。,Positive,简单句
保洁阿姨太马虎了。,Negative,简单句
虽然售后很负责，可是太粗鲁了，无法接受。,Negative,转折(负)
对于背景音乐，我没法不觉得有创意。,Positive,双重否定
外卖太塞牙了。,Negative,简单句
很难说导游是不热情的。,Positive,双重否定
虽然售后很耐心，可是太拖延了，无法接受。,Negative,转折(负)
外卖不得不说是干净的。,Positive,双重否定
很难说外卖是不美味的。,Positive,双重否定
电池续航不是不精准。,Positive,双重否定
这游戏优化得真好，PPT都没这么卡。,Negative,反讽
剧情不是不逼真。,Positive,双重否定
很难说背景音乐是不感人的。,Positive,双重否定
网速很清晰。,Positive,简单句
导游太拖延了。,Negative,简单句
虽然剧情有点无聊，但整体还是挺震撼的。,Positive,转折(正)
对于演员演技，我没法不觉得精彩。,Positive,双重否定
很难说剧情是不逼真的。,Positive,双重否定
很难说这道牛排是不美味的。,Positive,双重否定
真是良心商家，涨价还减量。,Negative,反讽
火锅底料太有异味了。,Negative,简单句
很难说保洁阿姨是不负责的。,Positive,双重否定
虽然这道牛排很入味，可是太有异味了，无法接受。,Negative,转折(负)
这网速快得像蜗牛爬。,Negative,反讽
这手机续航真强，充电两小时通话五分钟。,Negative,反讽
虽然这道牛排有点有异味，但整体还是挺入味的。,Positive,转折(正)
虽然客服有点拖延，但整体还是挺负责的。,Positive,转折(正)
虽然结局很逼真，可是太俗套了，无法接受。,Negative,转折(负)
虽然这家餐厅有点有异味，但整体还是挺正宗的。,Positive,转折(正)
这代码写得真艺术，完全看不懂。,Negative,反讽
很难说导游是不负责的。,Positive,双重否定
客服太粗鲁了。,Negative,简单句
虽然客服很负责，可是太拖延了，无法接受。,Negative,转折(负)
感谢你在百忙之中敷衍我。,Negative,反讽
虽然这本小说很精彩，可是太无聊了，无法接受。,Negative,转折(负)
这代码写得真艺术，完全看不懂。,Negative,反讽
快递小哥太业余了。,Negative,简单句
很难说特效是不精彩的。,Positive,双重否定
系统不得不说是清晰的。,Positive,双重否定
这网速快得像蜗牛爬。,Negative,反讽
虽然剧情有点拖沓，但整体还是挺逼真的。,Positive,转折(正)
虽然海鲜有点不新鲜，但整体还是挺入味的。,Positive,转折(正)
虽然结局有点俗套，但整体还是挺逼真的。,Positive,转折(正)
快递小哥太拖延了。,Negative,简单句
很难说系统是不清晰的。,Positive,双重否定
虽然柜台服务有点马虎，但整体还是挺准时的。,Positive,转折(正)
你这建议太有用了，成功浪费了我三天时间。,Negative,反讽
虽然柜台服务很负责，可是太粗鲁了，无法接受。,Negative,转折(负)
对于系统，我没法不觉得灵敏。,Positive,双重否定
虽然快递小哥很准时，可是太敷衍了，无法接受。,Negative,转折(负)
真是谢谢你全家。,Negative,反讽
虽然演员演技很逼真，可是太不知所云了，无法接受。,Negative,转折(负)
我不否认特效很精彩。,Positive,双重否定
特效很有创意。,Positive,简单句
虽然演员演技有点五毛钱，但整体还是挺逼真的。,Positive,转折(正)
我不否认特效很精彩。,Positive,双重否定
老板真大方，年终奖发了一箱空气。,Negative,反讽
网速很智能。,Positive,简单句
虽然屏幕显示有点发烫，但整体还是挺精准的。,Positive,转折(正)
结局太五毛钱了。,Negative,简单句
这外卖送得真快，才两个小时就到了。,Negative,反讽
虽然结局有点狗血，但整体还是挺逼真的。,Positive,转折(正)
特效不得不说是深刻的。,Positive,双重否定
虽然这家餐厅有点不新鲜，但整体还是挺丰盛的。,Positive,转折(正)
App太低效了。,Negative,简单句
虽然烧烤很嫩滑，可是太难吃了，无法接受。,Negative,转折(负)
虽然售后有点拖延，但整体还是挺细心的。,Positive,转折(正)
对于自助餐，我没法不觉得嫩滑。,Positive,双重否定
我不否认客服很负责。,Positive,双重否定
虽然电池续航有点卡顿，但整体还是挺智能的。,Positive,转折(正)
售后太业余了。,Negative,简单句
虽然柜台服务有点拖延，但整体还是挺准时的。,Positive,转折(正)
这牛排真嫩，咬都咬不动。,Negative,反讽
对于人脸识别，我没法不觉得智能。,Positive,双重否定
网速太弱智了。,Negative,简单句
柜台服务很热情。,Positive,简单句
这部电影太拖沓了。,Negative,简单句
对于背景音乐，我没法不觉得有创意。,Positive,双重否定
自助餐很干净。,Positive,简单句
结局太狗血了。,Negative,简单句
虽然海鲜很入味，可是太不新鲜了，无法接受。,Negative,转折(负)
老板真大方，年终奖发了一箱空气。,Negative,反讽
屏幕显示很高效。,Positive,简单句
真是天才的设计，人类完全没法用。,Negative,反讽
虽然特效有点五毛钱，但整体还是挺震撼的。,Positive,转折(正)
柜台服务很热情。,Positive,简单句
虽然导游有点马虎，但整体还是挺负责的。,Positive,转折(正)
虽然结局很逼真，可是太狗血了，无法接受。,Negative,转折(负)
我不否认海鲜很干净。,Positive,双重否定
真是谢谢你全家。,Negative,反讽
背景音乐不是不精彩。,Positive,双重否定
虽然火锅底料有点太咸，但整体还是挺嫩滑的。,Positive,转折(正)
虽然系统有点低效，但整体还是挺清晰的。,Positive,转折(正)
