text,label,type,sub_type,domain,is_valid
你这推荐的什么鬼地方，菜辣得我直冒汗，结果越吃越上瘾。,Positive,反讽,Positive_Ironic,美食餐饮,True
老板可真大方，送的汤比主菜还鲜，这不是成心让我多来嘛。,Positive,反讽,Positive_Ironic,美食餐饮,True
这家店装修老土得掉渣，但披萨香得让我忘了拍照。,Positive,反讽,Positive_Ironic,美食餐饮,True
服务员慢吞吞的，每道菜却等得我心痒痒。,Positive,反讽,Positive_Ironic,美食餐饮,True
价格贵得吓人，但牛排嫩得我舌头都快化了。,Positive,反讽,Positive_Ironic,美食餐饮,True
菜量小得可怜，味道却好到我想打包回家。,Positive,反讽,Positive_Ironic,美食餐饮,True
位置偏得导航都迷路，但为了这碗面，值了。,Positive,反讽,Positive_Ironic,美食餐饮,True
天气热得像蒸笼，这冰淇淋凉得我直呼过瘾。,Positive,反讽,Positive_Ironic,美食餐饮,True
这家餐厅灯光真“温馨”，暗得我差点把叉子插到鼻子里。,Negative,反讽,Negative_Ironic,美食餐饮,True
厨师的创意无限，把鱼做得跟纸片一样干。,Negative,反讽,Negative_Ironic,美食餐饮,True
服务生热情得过分，每两分钟就来打扰我吃饭。,Negative,反讽,Negative_Ironic,美食餐饮,True
环境优雅安静，可惜空调冷得我直哆嗦。,Negative,反讽,Negative_Ironic,美食餐饮,True
菜式新颖独特，吃完后我胃疼了一整晚。,Negative,反讽,Negative_Ironic,美食餐饮,True
价格亲民实惠，但份量少得我只够塞牙缝。,Negative,反讽,Negative_Ironic,美食餐饮,True
招牌菜名不虚传，虚得我都没尝出啥味来。,Negative,反讽,Negative_Ironic,美食餐饮,True
这家店历史悠久，老得连椅子都吱呀响。,Negative,反讽,Negative_Ironic,美食餐饮,True
食材新鲜健康，可惜厨师炒得跟糊糊一样。,Negative,反讽,Negative_Ironic,美食餐饮,True
氛围温馨舒适，就是音乐吵得我头昏脑涨。,Negative,反讽,Negative_Ironic,美食餐饮,True
你可真会挑，这家店的面条硬得能当棍子使。,Negative,反讽,Negative_Ironic,美食餐饮,True
餐厅的布局真“合理”，挤得我转身都难。,Negative,反讽,Negative_Ironic,美食餐饮,True
厨艺高超得惊人，把鸡肉煮得跟橡胶一样嚼不动。,Negative,反讽,Negative_Ironic,美食餐饮,True
服务周到体贴，可惜账单多算了我二十块。,Negative,反讽,Negative_Ironic,美食餐饮,True
环境宽敞明亮，就是油烟味熏得我眼睛疼。,Negative,反讽,Negative_Ironic,美食餐饮,True
菜色丰富多样，可惜每道都咸得齁死人。,Negative,反讽,Negative_Ironic,美食餐饮,True
价格公道合理，但上菜慢得我饿过头了。,Negative,反讽,Negative_Ironic,美食餐饮,True
这家店口碑极佳，佳得我吃完就拉肚子。,Negative,反讽,Negative_Ironic,美食餐饮,True
装修现代时尚，但桌子晃得我汤都洒了。,Negative,反讽,Negative_Ironic,美食餐饮,True
食材顶级优质，可惜做得跟剩饭一样难吃。,Negative,反讽,Negative_Ironic,美食餐饮,True
氛围浪漫迷人，就是蚊子多得我直拍腿。,Negative,反讽,Negative_Ironic,美食餐饮,True
你可真明智，选这餐厅的甜品甜得我牙疼。,Negative,反讽,Negative_Ironic,美食餐饮,True
厨房效率真高，高得我等了半小时才上第一道菜。,Negative,反讽,Negative_Ironic,美食餐饮,True
餐厅位置便利，便利得门口堵车堵死我。,Negative,反讽,Negative_Ironic,美食餐饮,True
厨师的刀工了得，了得把蔬菜切得跟碎纸一样。,Negative,反讽,Negative_Ironic,美食餐饮,True
服务态度友好，友好得我提醒三次才拿来菜单。,Negative,反讽,Negative_Ironic,美食餐饮,True
环境清洁卫生，但地板滑得我差点摔跤。,Negative,反讽,Negative_Ironic,美食餐饮,True
菜谱选择广泛，广泛得我看了半天不知道点啥。,Negative,反讽,Negative_Ironic,美食餐饮,True
价格透明公开，但隐藏费用让我多付钱。,Negative,反讽,Negative_Ironic,美食餐饮,True
这家店人气爆棚，爆棚得排队排到门外去。,Negative,反讽,Negative_Ironic,美食餐饮,True
装修精致典雅，但椅子矮得我坐得腰酸背痛。,Negative,反讽,Negative_Ironic,美食餐饮,True
食材原汁原味，可惜调味淡得跟白水一样。,Negative,反讽,Negative_Ironic,美食餐饮,True
我哥总说这个动画片‘幼稚’，结果他看得比谁都投入，还偷偷买了全套手办。,Positive,反讽,Positive_Ironic,影视娱乐,True
闺蜜吐槽那部爱情片‘矫情’，可我见她看时眼泪汪汪，手机里存满了剧照。,Positive,反讽,Positive_Ironic,影视娱乐,True
我爸老嫌这个纪录片‘枯燥’，但每次播出他都盯得紧，连广告都不错过。,Positive,反讽,Positive_Ironic,影视娱乐,True
室友说这个综艺‘无聊透顶’，可她一集没落全追完，还到处推荐给朋友。,Positive,反讽,Positive_Ironic,影视娱乐,True
弟弟抱怨这部电影‘太长’，但他看得入迷，连零食都忘了吃。,Positive,反讽,Positive_Ironic,影视娱乐,True
朋友嘲笑那个演员‘演技差’，私下却反复看他的片段，模仿得挺像。,Positive,反讽,Positive_Ironic,影视娱乐,True
我妈说这个剧‘老套’，自己却追到深夜，还跟我讨论剧情细节。,Positive,反讽,Positive_Ironic,影视娱乐,True
同学觉得这个音乐节目‘吵’，每次播出他都跟着哼，手机歌单全是它。,Positive,反讽,Positive_Ironic,影视娱乐,True
这部电影剧情‘扣人心弦’，我看了半小时就猜中结局，无聊得刷起了手机。,Negative,反讽,Negative_Ironic,影视娱乐,True
那个综艺嘉宾‘幽默风趣’，说话尬得我脚趾抠地，立马换了台。,Negative,反讽,Negative_Ironic,影视娱乐,True
你推荐的这部剧特效‘逼真’，假得像五毛钱制作，看得我头晕眼花。,Negative,反讽,Negative_Ironic,影视娱乐,True
演员的表演‘深入人心’，僵硬得像木头人，我都替他感到尴尬。,Negative,反讽,Negative_Ironic,影视娱乐,True
导演的叙事‘大师级’，混乱得我看了三遍还没理清时间线。,Negative,反讽,Negative_Ironic,影视娱乐,True
这个电影配乐‘动听’，吵得我耳朵疼，完全盖过了人物对话。,Negative,反讽,Negative_Ironic,影视娱乐,True
剧集的节奏‘紧凑’，拖沓得我想开二倍速都嫌慢。,Negative,反讽,Negative_Ironic,影视娱乐,True
综艺的环节‘创意十足’，老套得我十年前就看过类似设计。,Negative,反讽,Negative_Ironic,影视娱乐,True
这部电影结局‘出人意料’，狗血得我都能编出来，毫无新意。,Negative,反讽,Negative_Ironic,影视娱乐,True
演员的颜值‘惊艳’，化妆浓得认不出本人，演技还全程掉线。,Negative,反讽,Negative_Ironic,影视娱乐,True
这个纪录片‘真实可信’，摆拍痕迹明显，误导了不少观众。,Negative,反讽,Negative_Ironic,影视娱乐,True
你安利的这个动画‘适合全家’，幼稚得我三岁侄子都嫌无聊。,Negative,反讽,Negative_Ironic,影视娱乐,True
导演的镜头‘艺术感强’，晃得我晕车，看了直想吐。,Negative,反讽,Negative_Ironic,影视娱乐,True
这部剧的服装‘精致华丽’，廉价感十足，像地摊淘来的货。,Negative,反讽,Negative_Ironic,影视娱乐,True
综艺主持人‘控场能力一流’，冷场得我都想上去救个场。,Negative,反讽,Negative_Ironic,影视娱乐,True
电影的台词‘经典难忘’，空洞得像白开水，毫无营养可言。,Negative,反讽,Negative_Ironic,影视娱乐,True
这个系列剧‘口碑爆棚’，评分虚高，实际烂尾收场。,Negative,反讽,Negative_Ironic,影视娱乐,True
演员的哭戏‘感人肺腑’，假哭得眼泪都挤不出来，看得我出戏。,Negative,反讽,Negative_Ironic,影视娱乐,True
你推荐的这部科幻片‘想象力丰富’，抄袭得连设定都一模一样。,Negative,反讽,Negative_Ironic,影视娱乐,True
这个真人秀‘真实不做作’，剧本痕迹太重，嘉宾全在演戏。,Negative,反讽,Negative_Ironic,影视娱乐,True
电影的营销‘声势浩大’，内容空洞，看完感觉被骗了钱。,Negative,反讽,Negative_Ironic,影视娱乐,True
